# hark throughput sweep — 2026-05-13T09:32:58Z
# build=ReleaseFast duration=10s inflight=1000 workers=2 latency_ms=0
# cache.size=16777216 cache.entries=10000
# workload  threads     totqps   noerrqps     servfail%   lost%
  hit       8           324932     324932            0     0.01
  hit       32          322699     322699            0     0.01
  hit       128         324606     324606            0     0.01
  hit       256         323405     323405            0     0.01
  miss      8           228832     228832            0     0.07
  miss      32          180376     180376            0     0.08
  miss      128         179401     179401            0     0.08
  miss      256         153416     153416         0.00     0.05
  mix       8           327544     327544            0     0.05
  mix       32          301806     301806            0     0.05
  mix       128         295647     295647            0     0.00
  mix       256         294085     294085         0.00     0.05
